Sample ID,WWTP ID,SiteID,Site Name,Sampling Date,Latitude,Longitude,City Name,Country/Region,Continent,Climate typea,Annual average,Annual mean of daily maximum,Annual mean of daily minimum,Sampling month average,Sampling moment,Annual,Sampling month,GDP per capita (dollars),City population,Year of plant build,Designed capacity (m3/d),Actual Inf rate (m3/d),Volume of aeration tanks (m3),Plant,Aeration tank,SRT (d),General type ,Detailed type,Nitrification,Denitrification,Aerator type,BOD (mg/l) Inf,BOD (mg/l) inf/(1+recycle ratio),BOD (mg/l) Aeration tank inf,BOD (mg/l) Eff,COD (mg/l) Inf,COD (mg/l) Inf/(1+recycle ratio),COD (mg/l) Aeration tank inf,COD (mg/l) Eff,F/M (kg BOD/kg MLSS-d),NH4-N (mg/l) Inf,NH4-N (mg/l) Aeration tank inf,NH4-N (mg/l) Eff,TN (mg/l) Inf,TN (mg/l) Aeration tank inf,TN (mg/l) Eff,TP (mg/l) Inf,TP (mg/l) Aeration tank inf,TP (mg/l) Eff,Contained in Inf?,Percentage,MLSS (mg/l),DO (mg/l),pH,Mixed liquid temperature (oC),Conductivity (μS/cm),NH4-N (mg/l),NO3-N (mg/l),SVI (ml/g),Unnamed: 0,Sample ID,Sampling month average,Sampling month,SRTd,COD,NH4N,TP,Gammaproteobacteria,Bacteroidia,Unclassified,Alphaproteobacteria,Others,Clostridia,Anaerolineae,Parcubacteria,Polyangia,Planctomycetes,Verrucomicrobiae,Bdellovibrionia,Chlamydiae,Oligoflexia,Phycisphaerae,Gracilibacteria,Actinobacteria,Bacilli,Microgenomatia,Babeliae,ABY1,Saccharimonadia,Acidimicrobiia,Omnitrophia,Cyanobacteriia,Acidobacteriae,Myxococcia,Nanoarchaeia,Thermoleophilia,Blastocatellia,OM190,Spirochaetia,Nitrospiria,Chloroflexia,Kiritimatiellae,Ignavibacteria,Desulfuromonadia,Campylobacteria,Gemmatimonadetes,Vicinamibacteria,Fimbriimonadia,Vampirivibrionia,Desulfovibrionia,Negativicutes,Holophagae,Leptospirae,metagenome,Kapabacteria,Lineage IIb,Desulfobacteria,Hydrogenedentia
SASC5,SASC1,SACT,Cape Town,2015-04-22,-33.8712423,18.7344695,Cape Town,South Africa,Africa,Csa,18.0,28.0,7.0,18.0,,661.0,55.0,14086.0,4178700.0,2006.0,12000.0,10000.0,1116.0,,,25.0,A2O,UCT; interchangeable (UCT/MUCT/JHB/3-stage Phoredox),Yes,Yes,,,,,,969.0,,710.0,30.0,,89.1,70.0,1.5,148.0,,,15.1,10.0,2.2,Yes,0.075,5550.0,1.2,7.1,20.0,,,,,10.0,SASC5,18.0,55.0,25.0,969.0,89.1,15.1,22.3046875,27.59765625,5.76953125,4.6796875,3.15625,0.9765625,2.3828125,1.515625,2.828125,3.5703125,1.37109375,0.578125,1.21875,0.4296875,0.875,0.875,0.43359375,0.4765625,0.23046875,0.28515625,0.27734375,0.984375,0.2421875,0.05859375,0.00390625,0.4765625,0.45703125,0.17578125,0.07421875,4.171875,0.90234375,0.02734375,2.67578125,0.55859375,0.23828125,2.90625,0.28515625,0.0703125,0.6328125,0.75,0.63671875,0.21484375,0.05078125,0.0703125,0.29296875,0.31640625,0.28515625,0.359375,0.18359375,0.01171875,0.0546875
SASC6,SASC1,SACT,Cape Town,2015-04-22,-33.8712423,18.7344695,Cape Town,South Africa,Africa,Csa,18.0,28.0,7.0,18.0,,661.0,55.0,14086.0,4178700.0,2006.0,12000.0,10000.0,1116.0,,,25.0,A2O,UCT; interchangeable (UCT/MUCT/JHB/3-stage Phoredox),Yes,Yes,,,,,,969.0,,710.0,30.0,,89.1,70.0,1.5,148.0,,,15.1,10.0,2.2,Yes,0.075,5550.0,1.2,7.1,20.0,,,,,11.0,SASC6,18.0,55.0,25.0,969.0,89.1,15.1,21.5390625,27.8203125,6.1796875,4.3828125,3.29296875,1.078125,2.6640625,1.69140625,2.78515625,3.30078125,1.36328125,0.5703125,1.23046875,0.515625,0.94921875,0.84765625,0.41015625,0.4296875,0.28515625,0.28125,0.33203125,1.04296875,0.30078125,0.05078125,0.03515625,0.44140625,0.41796875,0.16015625,0.046875,4.4765625,0.765625,0.05078125,2.65625,0.5703125,0.265625,2.70703125,0.2265625,0.0625,0.625,0.69921875,0.6796875,0.24609375,0.0390625,0.0625,0.24609375,0.34375,0.30078125,0.31640625,0.1953125,0.0,0.01953125
SAKB1,SAKB1,SADB,Durban,2015-04-22,-30.075822,30.8562836,Durban,South Africa,Africa,Cfa,18.0,28.0,7.0,18.0,,975.0,70.0,12884.0,3796000.0,1995.0,3100.0,3400.0,4380.0,,,28.0,A2O,UCT,Yes,Yes,,473.0,,473.0,18.3,697.0,,697.0,39.0,0.097134643,18.69,18.69,0.0,,,,3.87,3.87,0.45,Yes,0.075,3780.0,1.33,7.35,22.2,,,,,12.0,SAKB1,18.0,70.0,28.0,697.0,18.69,3.87,24.3828125,35.09375,0.91015625,1.31640625,2.07421875,0.91796875,5.91015625,1.74609375,0.55859375,0.9453125,2.34765625,0.7734375,0.171875,0.08203125,0.18359375,1.22265625,0.33203125,0.15625,0.109375,0.140625,0.171875,1.0703125,0.40625,0.16015625,0.0,0.37890625,0.16015625,0.08203125,0.00390625,2.82421875,0.171875,0.078125,3.1640625,0.05078125,0.2109375,6.90625,0.05078125,0.78125,0.00390625,0.13671875,0.51953125,0.0625,0.21484375,0.14453125,0.5390625,0.0625,0.4453125,1.46875,0.23828125,0.10546875,0.01171875
SAKB2,SAKB1,SADB,Durban,2015-04-22,-30.075822,30.8562836,Durban,South Africa,Africa,Cfa,18.0,28.0,7.0,18.0,,975.0,70.0,12884.0,3796000.0,1995.0,3100.0,3400.0,4380.0,,,28.0,A2O,UCT,Yes,Yes,,473.0,,473.0,18.3,697.0,,697.0,39.0,0.097134643,18.69,18.69,0.0,,,,3.87,3.87,0.45,Yes,0.075,3780.0,1.33,7.35,22.2,,,,,13.0,SAKB2,18.0,70.0,28.0,697.0,18.69,3.87,25.82421875,34.8515625,0.90234375,1.56640625,2.15234375,0.8125,5.12109375,1.70703125,0.59375,0.7578125,2.1484375,0.75,0.171875,0.140625,0.23828125,1.16015625,0.30859375,0.13671875,0.0859375,0.140625,0.16015625,0.87109375,0.30859375,0.1015625,0.0078125,0.55078125,0.19921875,0.05078125,0.00390625,2.93359375,0.19921875,0.0625,3.06640625,0.08203125,0.21875,7.09375,0.04296875,0.8125,0.0,0.1328125,0.5546875,0.0625,0.21875,0.11328125,0.46484375,0.05078125,0.3671875,1.41015625,0.1796875,0.09375,0.015625
SAKB3,SAKB1,SADB,Durban,2015-04-22,-30.075822,30.8562836,Durban,South Africa,Africa,Cfa,18.0,28.0,7.0,18.0,,975.0,70.0,12884.0,3796000.0,1995.0,3100.0,3400.0,4380.0,,,28.0,A2O,UCT,Yes,Yes,,473.0,,473.0,18.3,697.0,,697.0,39.0,0.097134643,18.69,18.69,0.0,,,,3.87,3.87,0.45,Yes,0.075,3780.0,1.24,7.35,22.2,,,,,14.0,SAKB3,18.0,70.0,28.0,697.0,18.69,3.87,24.57421875,35.60546875,0.89453125,1.58203125,2.24609375,0.85546875,5.32421875,1.8828125,0.62109375,0.76953125,2.18359375,0.73046875,0.12109375,0.08203125,0.23828125,1.25390625,0.359375,0.1640625,0.09765625,0.09375,0.171875,1.12890625,0.296875,0.109375,0.01171875,0.3984375,0.1953125,0.04296875,0.0078125,2.65625,0.1875,0.046875,2.8671875,0.0859375,0.22265625,7.09375,0.04296875,0.90234375,0.01953125,0.12890625,0.5703125,0.0546875,0.20703125,0.0859375,0.56640625,0.078125,0.40234375,1.46875,0.1875,0.08203125,0.0
SAKB4,SAKB1,SADB,Durban,2015-04-22,-30.075822,30.8562836,Durban,South Africa,Africa,Cfa,18.0,28.0,7.0,18.0,,975.0,70.0,12884.0,3796000.0,1995.0,3100.0,3400.0,4380.0,,,28.0,A2O,UCT,Yes,Yes,,473.0,,473.0,18.3,697.0,,697.0,39.0,0.097134643,18.69,18.69,0.0,,,,3.87,3.87,0.45,Yes,0.075,3780.0,1.24,7.35,22.2,,,,,15.0,SAKB4,18.0,70.0,28.0,697.0,18.69,3.87,22.765625,37.3984375,0.98046875,1.3125,2.1484375,0.9375,4.953125,1.8515625,0.50390625,0.875,2.015625,0.859375,0.125,0.09765625,0.19140625,1.203125,0.3671875,0.16796875,0.12109375,0.140625,0.16015625,1.140625,0.3984375,0.14453125,0.01953125,0.39453125,0.1640625,0.05078125,0.00390625,2.92578125,0.1953125,0.03515625,2.97265625,0.046875,0.19921875,7.39453125,0.046875,0.96484375,0.01171875,0.171875,0.51171875,0.05078125,0.1796875,0.109375,0.48046875,0.09375,0.3671875,1.40234375,0.25,0.0859375,0.01171875
SAKB5,SAKB1,SADB,Durban,2015-04-22,-30.075822,30.8562836,Durban,South Africa,Africa,Cfa,18.0,28.0,7.0,18.0,,975.0,70.0,12884.0,3796000.0,1995.0,3100.0,3400.0,4380.0,,,28.0,A2O,UCT,Yes,Yes,,473.0,,473.0,18.3,697.0,,697.0,39.0,0.097134643,18.69,18.69,0.0,,,,3.87,3.87,0.45,Yes,0.075,3780.0,1.1,7.35,22.2,,,,,16.0,SAKB5,18.0,70.0,28.0,697.0,18.69,3.87,20.85546875,39.2265625,0.92578125,1.109375,1.9609375,0.92578125,4.20703125,1.9765625,0.5546875,0.8984375,1.96875,0.85546875,0.15625,0.1015625,0.19921875,1.43359375,0.29296875,0.21875,0.1796875,0.1328125,0.1796875,1.23046875,0.32421875,0.1640625,0.00390625,0.3828125,0.16015625,0.05078125,0.00390625,2.97265625,0.17578125,0.05078125,2.82421875,0.0703125,0.20703125,8.078125,0.03125,0.89453125,0.015625,0.09375,0.66796875,0.07421875,0.22265625,0.1171875,0.48828125,0.09765625,0.44921875,1.4765625,0.19140625,0.10546875,0.015625
SAKB6,SAKB1,SADB,Durban,2015-04-22,-30.075822,30.8562836,Durban,South Africa,Africa,Cfa,18.0,28.0,7.0,18.0,,975.0,70.0,12884.0,3796000.0,1995.0,3100.0,3400.0,4380.0,,,28.0,A2O,UCT,Yes,Yes,,473.0,,473.0,18.3,697.0,,697.0,39.0,0.097134643,18.69,18.69,0.0,,,,3.87,3.87,0.45,Yes,0.075,3780.0,1.1,7.35,22.2,,,,,17.0,SAKB6,18.0,70.0,28.0,697.0,18.69,3.87,20.609375,40.23828125,0.90625,1.1328125,1.97265625,0.8828125,3.59375,2.265625,0.52734375,0.69921875,1.87890625,0.84375,0.16015625,0.1171875,0.1875,1.3203125,0.2890625,0.14453125,0.1640625,0.140625,0.19140625,1.19140625,0.31640625,0.15234375,0.02734375,0.296875,0.125,0.0703125,0.0234375,3.234375,0.19921875,0.03515625,2.68359375,0.0546875,0.18359375,8.265625,0.046875,1.01953125,0.00390625,0.1015625,0.578125,0.0703125,0.23046875,0.09375,0.4765625,0.09375,0.33203125,1.53125,0.17578125,0.109375,0.01171875
SAPN1,SAPN1,SADB,Durban,2015-04-22,-29.702788,31.0048384,Durban,South Africa,Africa,Cfa,21.0,29.0,13.0,23.0,,975.0,70.0,12884.0,3796000.0,,25000.0,24000.0,7066.0,13.5,13.5,25.0,A2O,MLE (with tapered surface aeration),Yes,Yes,,,,,,450.0,225.0,,55.0,,50.87,50.87,4.0,,,,4.41,,1.36,No,0.0,,1.65,7.15,23.18,,,,,18.0,SAPN1,23.0,70.0,25.0,450.0,50.87,4.41,19.80078125,55.76171875,1.13671875,0.80859375,1.30859375,0.6484375,2.16015625,1.7265625,0.8984375,0.59375,1.9140625,1.828125,0.01953125,0.078125,0.11328125,0.9296875,0.1328125,0.1796875,0.1328125,0.03515625,0.14453125,1.0546875,0.2109375,0.328125,0.0078125,0.13671875,0.67578125,0.015625,0.0234375,1.25,0.05078125,0.0703125,1.36328125,0.12890625,0.02734375,0.64453125,0.05859375,0.67578125,0.02734375,0.046875,0.3125,0.2265625,0.05859375,0.11328125,0.04296875,0.8046875,0.45703125,0.57421875,0.09765625,0.0078125,0.15625
SAPN2,SAPN1,SADB,Durban,2015-04-22,-29.702788,31.0048384,Durban,South Africa,Africa,Cfa,21.0,29.0,13.0,23.0,,975.0,70.0,12884.0,3796000.0,,25000.0,24000.0,7066.0,13.5,13.5,25.0,A2O,MLE (with tapered surface aeration),Yes,Yes,,,,,,450.0,225.0,,55.0,,50.87,51.87,4.0,,,,4.41,,1.36,No,0.0,,1.65,7.15,23.18,,,,,19.0,SAPN2,23.0,70.0,25.0,450.0,50.87,4.41,21.0546875,54.22265625,1.18359375,0.91015625,1.31640625,0.48046875,2.25390625,1.66015625,1.18359375,0.5859375,2.16015625,1.7265625,0.04296875,0.07421875,0.1484375,0.859375,0.171875,0.1328125,0.11328125,0.02734375,0.15234375,1.03125,0.1328125,0.1640625,0.0234375,0.14453125,0.890625,0.015625,0.00390625,1.296875,0.05078125,0.04296875,1.44140625,0.20703125,0.05078125,0.6328125,0.078125,0.4296875,0.0390625,0.0859375,0.3515625,0.2265625,0.078125,0.0859375,0.03125,0.75,0.44140625,0.59375,0.10546875,0.00390625,0.109375
SAPN3,SAPN1,SADB,Durban,2015-04-22,-29.702788,31.0048384,Durban,South Africa,Africa,Cfa,21.0,29.0,13.0,23.0,,975.0,70.0,12884.0,3796000.0,,25000.0,24000.0,7066.0,13.5,13.5,25.0,A2O,MLE (with tapered surface aeration),Yes,Yes,,,,,,450.0,225.0,,55.0,,50.87,52.87,4.0,,,,4.41,,1.36,No,0.0,,1.52,7.15,23.18,,,,,20.0,SAPN3,23.0,70.0,25.0,450.0,50.87,4.41,16.3203125,58.4375,1.16796875,0.953125,1.43359375,0.5859375,2.63671875,1.61328125,0.9375,0.59765625,1.53515625,1.76953125,0.03515625,0.109375,0.12109375,1.046875,0.1875,0.1484375,0.14453125,0.01171875,0.15625,0.98828125,0.16796875,0.25,0.02734375,0.15625,0.28125,0.015625,0.0234375,1.26171875,0.03515625,0.02734375,1.921875,0.1640625,0.0625,0.72265625,0.046875,0.75,0.0078125,0.0546875,0.32421875,0.19921875,0.01171875,0.08203125,0.03125,0.89453125,0.609375,0.7578125,0.08984375,0.00390625,0.08203125
