Sample ID,WWTP ID,SiteID,Site Name,Sampling Date,Latitude,Longitude,City Name,Country/Region,Continent,Climate typea,Annual average,Annual mean of daily maximum,Annual mean of daily minimum,Sampling month average,Sampling moment,Annual,Sampling month,GDP per capita (dollars),City population,Year of plant build,Designed capacity (m3/d),Actual Inf rate (m3/d),Volume of aeration tanks (m3),Plant,Aeration tank,SRT (d),General type ,Detailed type,Nitrification,Denitrification,Aerator type,BOD (mg/l) Inf,BOD (mg/l) inf/(1+recycle ratio),BOD (mg/l) Aeration tank inf,BOD (mg/l) Eff,COD (mg/l) Inf,COD (mg/l) Inf/(1+recycle ratio),COD (mg/l) Aeration tank inf,COD (mg/l) Eff,F/M (kg BOD/kg MLSS-d),NH4-N (mg/l) Inf,NH4-N (mg/l) Aeration tank inf,NH4-N (mg/l) Eff,TN (mg/l) Inf,TN (mg/l) Aeration tank inf,TN (mg/l) Eff,TP (mg/l) Inf,TP (mg/l) Aeration tank inf,TP (mg/l) Eff,Contained in Inf?,Percentage,MLSS (mg/l),DO (mg/l),pH,Mixed liquid temperature (oC),Conductivity (μS/cm),NH4-N (mg/l),NO3-N (mg/l),SVI (ml/g),Unnamed: 0,Sample ID,Sampling month average,Sampling month,SRTd,COD,NH4N,TP,Proteobacteria,Bacteroidota,Patescibacteria,Unclassified,Firmicutes,Planctomycetota,Verrucomicrobiota,Chloroflexi,Myxococcota,Others,Bdellovibrionota,Actinobacteriota,Acidobacteriota,Desulfobacterota,Dependentiae,Cyanobacteria,Spirochaetota,Nanoarchaeota,Elusimicrobiota,SAR324 clade(Marine group B),Armatimonadota
SAPN3,SAPN1,SADB,Durban,2015-04-22,-29.702788,31.0048384,Durban,South Africa,Africa,Cfa,21.0,29.0,13.0,23.0,,975.0,70.0,12884.0,3796000.0,,25000.0,24000.0,7066.0,13.5,13.5,25.0,A2O,MLE (with tapered surface aeration),Yes,Yes,,,,,,450.0,225.0,,55.0,,50.87,52.87,4.0,,,,4.41,,1.36,No,0.0,,1.52,7.15,23.18,,,,,20.0,SAPN3,23.0,70.0,25.0,450.0,50.87,4.41,17.28125,59.96875,4.09375,0.86328125,0.8203125,0.77734375,1.8984375,2.93359375,1.23828125,4.078125,1.87890625,0.39453125,1.6015625,0.140625,0.01171875,0.31640625,0.93359375,0.015625,0.2890625,0.140625,0.32421875
SAPN4,SAPN1,SADB,Durban,2015-04-22,-29.702788,31.0048384,Durban,South Africa,Africa,Cfa,21.0,29.0,13.0,23.0,,975.0,70.0,12884.0,3796000.0,,25000.0,24000.0,7066.0,13.5,13.5,25.0,A2O,MLE (with tapered surface aeration),Yes,Yes,,,,,,450.0,225.0,,55.0,,50.87,53.87,4.0,,,,4.41,,1.36,No,0.0,,1.52,7.15,23.18,,,,,21.0,SAPN4,23.0,70.0,25.0,450.0,50.87,4.41,20.390625,58.87890625,3.5078125,0.74609375,0.75390625,0.8984375,2.17578125,2.3125,1.9609375,2.92578125,1.6875,0.3046875,1.6484375,0.1640625,0.01953125,0.21875,0.71875,0.01953125,0.2734375,0.09375,0.30078125
SAPN5,SAPN1,SADB,Durban,2015-04-22,-29.702788,31.0048384,Durban,South Africa,Africa,Cfa,21.0,29.0,13.0,23.0,,975.0,70.0,12884.0,3796000.0,,25000.0,24000.0,7066.0,13.5,13.5,25.0,A2O,MLE (with tapered surface aeration),Yes,Yes,,,,,,450.0,225.0,,55.0,,50.87,54.87,4.0,,,,4.41,,1.36,No,0.0,,1.74,7.15,23.18,,,,,22.0,SAPN5,23.0,70.0,25.0,450.0,50.87,4.41,14.7578125,64.71875,4.06640625,0.9296875,0.88671875,0.625,1.84765625,2.11328125,1.19140625,3.32421875,1.72265625,0.30859375,1.33984375,0.1796875,0.0078125,0.35546875,0.91015625,0.01953125,0.1796875,0.171875,0.34375
SAPN6,SAPN1,SADB,Durban,2015-04-22,-29.702788,31.0048384,Durban,South Africa,Africa,Cfa,21.0,29.0,13.0,23.0,,975.0,70.0,12884.0,3796000.0,,25000.0,24000.0,7066.0,13.5,13.5,25.0,A2O,MLE (with tapered surface aeration),Yes,Yes,,,,,,450.0,225.0,,55.0,,50.87,55.87,4.0,,,,4.41,,1.36,No,0.0,,1.74,7.15,23.18,,,,,23.0,SAPN6,23.0,70.0,25.0,450.0,50.87,4.41,21.6328125,57.484375,3.7890625,0.8828125,0.85546875,0.8125,2.1875,2.03125,1.8359375,2.6875,1.7421875,0.32421875,1.68359375,0.24609375,0.0234375,0.33203125,0.734375,0.015625,0.3203125,0.0859375,0.29296875
SADP1,SADP1,SANE,Pretoria,2015-04-22,-25.7362381,28.1828928,Pretoria,South Africa,Africa,Cwb,21.0,28.0,5.0,17.0,,697.0,48.0,16696.0,2991600.0,,42000.0,40000.0,3000.0,,,11.0,A2O,3-stage Phoredox with surface aeration,,,,,,,,389.0,182.629108,286.0,38.0,,22.0,28.0,4.0,39.0,,,5.0,5.6,0.2,No,0.0,,0.98,6.98,22.0,,,,,24.0,SADP1,17.0,48.0,11.0,389.0,22.0,5.0,30.69921875,46.54296875,3.80859375,0.51953125,1.7890625,1.390625,1.42578125,3.43359375,1.44921875,3.34765625,1.140625,0.42578125,1.44140625,0.4296875,0.09765625,0.375,0.33203125,0.01953125,0.44921875,0.484375,0.3984375
SADP2,SADP1,SANE,Pretoria,2015-04-22,-25.7362381,28.1828928,Pretoria,South Africa,Africa,Cwb,21.0,28.0,5.0,17.0,,697.0,48.0,16696.0,2991600.0,,42000.0,40000.0,3000.0,,,11.0,A2O,3-stage Phoredox with surface aeration,,,,,,,,389.0,182.629108,286.0,38.0,,22.0,28.0,4.0,39.0,,,5.0,5.6,0.2,No,0.0,,0.87,6.98,22.0,,,,,25.0,SADP2,17.0,48.0,11.0,389.0,22.0,5.0,35.09765625,43.53125,3.21875,0.4609375,1.61328125,1.6328125,1.265625,3.1015625,1.16015625,3.61328125,1.1796875,0.390625,1.3984375,0.3984375,0.08984375,0.3671875,0.31640625,0.01171875,0.30859375,0.4609375,0.3828125
SADP3,SADP1,SANE,Pretoria,2015-04-22,-25.7362381,28.1828928,Pretoria,South Africa,Africa,Cwb,21.0,28.0,5.0,17.0,,697.0,48.0,16696.0,2991600.0,,42000.0,40000.0,3000.0,,,11.0,A2O,3-stage Phoredox with surface aeration,,,,,,,,389.0,182.629108,286.0,38.0,,22.0,28.0,4.0,39.0,,,5.0,5.6,0.2,No,0.0,,0.95,6.98,22.0,,,,,26.0,SADP3,17.0,48.0,11.0,389.0,22.0,5.0,35.015625,41.95703125,2.45703125,0.54296875,1.74609375,1.3125,1.66015625,3.19140625,1.66015625,4.03515625,1.54296875,0.5078125,1.79296875,0.52734375,0.08984375,0.41796875,0.484375,0.0,0.31640625,0.40234375,0.33984375
SADP4,SADP1,SANE,Pretoria,2015-04-22,-25.7362381,28.1828928,Pretoria,South Africa,Africa,Cwb,21.0,28.0,5.0,17.0,,697.0,48.0,16696.0,2991600.0,,42000.0,40000.0,3000.0,,,11.0,A2O,3-stage Phoredox with surface aeration,,,,,,,,389.0,182.629108,286.0,38.0,,22.0,28.0,4.0,39.0,,,5.0,5.6,0.2,No,0.0,,1.1,6.98,22.0,,,,,27.0,SADP4,17.0,48.0,11.0,389.0,22.0,5.0,36.37109375,42.07421875,2.19921875,0.5,1.3515625,1.32421875,1.578125,2.65234375,1.59765625,4.45703125,1.4921875,0.44140625,1.6328125,0.55859375,0.08203125,0.359375,0.43359375,0.0,0.25390625,0.33984375,0.30078125
SADP5,SADP1,SANE,Pretoria,2015-04-22,-25.7362381,28.1828928,Pretoria,South Africa,Africa,Cwb,21.0,28.0,5.0,17.0,,697.0,48.0,16696.0,2991600.0,,42000.0,40000.0,3000.0,,,11.0,A2O,3-stage Phoredox with surface aeration,,,,,,,,389.0,182.629108,286.0,38.0,,22.0,28.0,4.0,39.0,,,5.0,5.6,0.2,No,0.0,,0.97,6.98,22.0,,,,,28.0,SADP5,17.0,48.0,11.0,389.0,22.0,5.0,35.203125,42.125,2.8359375,0.8203125,1.55859375,1.51171875,1.55078125,2.5078125,1.63671875,4.12890625,1.40625,0.50390625,1.421875,0.33203125,0.09375,0.4296875,0.48828125,0.01171875,0.7578125,0.48046875,0.1953125
SADP6,SADP1,SANE,Pretoria,2015-04-22,-25.7362381,28.1828928,Pretoria,South Africa,Africa,Cwb,21.0,28.0,5.0,17.0,,697.0,48.0,16696.0,2991600.0,,42000.0,40000.0,3000.0,,,11.0,A2O,3-stage Phoredox with surface aeration,,,,,,,,389.0,182.629108,286.0,38.0,,22.0,28.0,4.0,39.0,,,5.0,5.6,0.2,No,0.0,,1.0,6.98,22.0,,,,,29.0,SADP6,17.0,48.0,11.0,389.0,22.0,5.0,33.0546875,44.3671875,2.9921875,0.87109375,1.42578125,1.6015625,1.47265625,2.3203125,1.828125,3.83203125,1.328125,0.48046875,1.49609375,0.33203125,0.125,0.515625,0.4453125,0.01953125,0.703125,0.51953125,0.26953125
